amplitude1,amplitude1_deg_or_scale,amplitude2,amplitude2_deg_or_scale,angle_reference,center1,center1_deg,center2,center2_deg,direction,dt,frequency_hz,gait,harmonics,high_command,high_threshold,initial1,initial2,kind,low_command,low_threshold,modulation,notes,page,parameter_source,power_angle,power_fraction,recovery_angle,run,speed,table_frequency_hz
75,75,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,yawPower,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,4,pdf,45,0.7,5,1,,0.5
75,75,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,yawPower,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,4,pdf,30,0.7,5,2,,0.5
75,75,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,yawPower,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,4,pdf,60,0.7,5,3,,0.5
75,75,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,yawPower,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,4,pdf,90,0.7,5,4,,0.5
50,50,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,rollAmpAndFrequency,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,3,pdf,45,0.7,5,1,,0.5
50,50,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.75,rollAmpAndFrequency,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,3,pdf,45,0.7,5,2,,0.75
50,50,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,1,rollAmpAndFrequency,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,3,pdf,45,0.7,5,3,,1
60,60,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,1,rollAmpAndFrequency,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,3,pdf,45,0.7,5,4,,1
60,60,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.75,rollAmpAndFrequency,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,3,pdf,45,0.7,5,5,,0.75
60,60,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,rollAmpAndFrequency,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,3,pdf,45,0.7,5,6,,0.5
70,70,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,rollAmpAndFrequency,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,3,pdf,45,0.7,5,7,,0.5
70,70,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.75,rollAmpAndFrequency,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,3,pdf,45,0.7,5,8,,0.75
70,70,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,1,rollAmpAndFrequency,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,3,pdf,45,0.7,5,9,,1
80,80,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.5,rollAmpAndFrequency,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,3,pdf,45,0.7,5,10,,0.5
80,80,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,0.75,rollAmpAndFrequency,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,3,pdf,45,0.7,5,11,,0.75
80,80,1000,1000,encoder zero; degrees = counts * 360/4096,2048,180.0,1000,87.890625,1,0.02,1,rollAmpAndFrequency,299,2000,2800,2048,1000,piecewise_square,1000,2200,,,3,pdf,45,0.7,5,12,,1
500,43.9453125,1000,87.890625,encoder zero; degrees = counts * 360/4096,2550,224.12109375,2000,175.78125,-1,0.02,0.6366197723675814,NESTEDSIN,299,2000,2880,2500,2000,nested,1000,2120,0.6,,5,pdf,,,,1,4,0.637
500,43.9453125,1000,87.890625,encoder zero; degrees = counts * 360/4096,2500,219.7265625,2000,175.78125,1,0.02,0.954929658551372,NESTEDSIN,299,2000,2800,2500,2000,nested,1000,2200,0.7,"Conflict: table center1=2500, direction=+1; pasted controller uses 2550, -1.",5,pdf,,,,2,6,0.955
500,43.9453125,1000,87.890625,encoder zero; degrees = counts * 360/4096,2500,219.7265625,2000,175.78125,1,0.02,0.65,SLOWFAST,99,2000,2880,2500,2000,slowfast,1000,2120,,Conflict: table direction=+1; pasted controllers use -1. Formula image also uses -1.,7,pdf,,,,1,,0.65
500,43.9453125,1000,87.890625,encoder zero; degrees = counts * 360/4096,2500,219.7265625,2000,175.78125,1,0.02,0.85,SLOWFAST,99,2000,2800,2500,2000,slowfast,1000,2200,,Conflict: table direction=+1; pasted controllers use -1. Formula image also uses -1.,7,pdf,,,,2,,0.85
500,43.9453125,1300,114.2578125,encoder zero; degrees = counts * 360/4096,2500,219.7265625,2000,175.78125,1,0.02,0.4,SINFOURIER,299,2000,2800,2500,2000,sin_fourier,1000,2200,,Conflict: table center2=2000; formula image and controller use 2500. Series scale 1300 comes from controller.,10,pdf,,,,1,,0.4
500,43.9453125,1300,114.2578125,encoder zero; degrees = counts * 360/4096,2500,219.7265625,2000,175.78125,1,0.02,0.65,SINFOURIER,299,2000,2800,2500,2000,sin_fourier,1000,2200,,Conflict: table center2=2000; formula image and controller use 2500. Series scale 1300 comes from controller.,10,pdf,,,,2,,0.65
1250,109.86328125,1000,87.890625,encoder zero; degrees = counts * 360/4096,2500,219.7265625,2000,175.78125,1,0.02,0.35,FOURIER,299,2000,2900,2500,2000,fourier_switch,1000,2100,,,11,pdf,,,,1,,0.35
1250,109.86328125,1000,87.890625,encoder zero; degrees = counts * 360/4096,2500,219.7265625,2000,175.78125,1,0.02,0.65,FOURIER,299,2000,2900,2500,2000,fourier_switch,1000,2100,,,11,pdf,,,,2,,0.65
