bag,flipper,gait,run,expected_frequency_hz,parameters,notes,mapping_basis
control_vansh_yawPower_4_control.bag,control,yawPower,4,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
fiberglassSIN.bag,fiberglass,SIN,1,0.5,f=0.5 Hz; S1 amplitude=43.95°; centers=219.73° / 175.78°; direction=1,,Assumed table row equals filename run number
fiberglassSIN2.bag,fiberglass,SIN,2,0.75,f=0.75 Hz; S1 amplitude=43.95°; centers=219.73° / 175.78°; direction=1,,Assumed table row equals filename run number
fiberglassNESTEDSIN.bag,fiberglass,NESTEDSIN,1,0.6366197723675814,f=0.63662 Hz; S1 amplitude=43.95°; centers=224.12° / 175.78°; direction=-1; speed=4; modulation=0.6,,Assumed table row equals filename run number
fiberglassNESTEDSIN2.bag,fiberglass,NESTEDSIN,2,0.954929658551372,f=0.95493 Hz; S1 amplitude=43.95°; centers=219.73° / 175.78°; direction=1; speed=6; modulation=0.7,"Conflict: table center1=2500, direction=+1; pasted controller uses 2550, -1.",Assumed table row equals filename run number
fiberglassSLOWFAST.bag,fiberglass,SLOWFAST,1,0.65,f=0.65 Hz; S1 scale=43.95°; centers=219.73° / 175.78°; direction=1,Conflict: table direction=+1; pasted controllers use -1. Formula image also uses -1.,Assumed table row equals filename run number
fiberglassSLOWFAST2.bag,fiberglass,SLOWFAST,2,0.85,f=0.85 Hz; S1 scale=43.95°; centers=219.73° / 175.78°; direction=1,Conflict: table direction=+1; pasted controllers use -1. Formula image also uses -1.,Assumed table row equals filename run number
fiberglassSINFOURIER.bag,fiberglass,SINFOURIER,1,0.4,f=0.4 Hz; S1 amplitude=43.95°; centers=219.73° / 175.78°; direction=1,Conflict: table center2=2000; formula image and controller use 2500. Series scale 1300 comes from controller.,Assumed table row equals filename run number
fiberglassSINFOURIER2.bag,fiberglass,SINFOURIER,2,0.65,f=0.65 Hz; S1 amplitude=43.95°; centers=219.73° / 175.78°; direction=1,Conflict: table center2=2000; formula image and controller use 2500. Series scale 1300 comes from controller.,Assumed table row equals filename run number
fiberglassDOUBLESIN.bag,fiberglass,DOUBLESIN,1,0.4,f=0.4 Hz; S1 amplitude=43.95°; centers=219.73° / 175.78°; direction=1,,Assumed table row equals filename run number
fiberglassDOUBLESIN2.bag,fiberglass,DOUBLESIN,2,0.67,f=0.67 Hz; S1 amplitude=43.95°; centers=219.73° / 175.78°; direction=1,0.67 Hz used literally from table; exact controller omega for this row was not provided.,Assumed table row equals filename run number
fiberglassSINmiddle.bag,fiberglass,SINmiddle,1,0.5,f=0.5 Hz; S1 amplitude=74.71°; centers=193.36° / 175.78°; direction=1,,Assumed table row equals filename run number
fiberglassFOURIER.bag,fiberglass,FOURIER,1,0.35,f=0.35 Hz; S1 scale=109.86°; centers=219.73° / 175.78°; direction=1,,Assumed table row equals filename run number
fiberglassFOURIER2.bag,fiberglass,FOURIER,2,0.65,f=0.65 Hz; S1 scale=109.86°; centers=219.73° / 175.78°; direction=1,,Assumed table row equals filename run number
rib_flipper_vansh_rollAmpAndFrequency_1_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,1,0.5,f=0.5 Hz; S1 amplitude=50.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_rollAmpAndFrequency_2_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,2,0.75,f=0.75 Hz; S1 amplitude=50.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_rollAmpAndFrequency_3_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,3,1,f=1 Hz; S1 amplitude=50.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_rollAmpAndFrequency_4_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,4,1,f=1 Hz; S1 amplitude=60.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_rollAmpAndFrequency_5_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,5,0.75,f=0.75 Hz; S1 amplitude=60.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_rollAmpAndFrequency_6_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,6,0.5,f=0.5 Hz; S1 amplitude=60.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_rollAmpAndFrequency_7_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,7,0.5,f=0.5 Hz; S1 amplitude=70.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_rollAmpAndFrequency_8_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,8,0.75,f=0.75 Hz; S1 amplitude=70.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_rollAmpAndFrequency_9_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,9,1,f=1 Hz; S1 amplitude=70.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_rollAmpAndFrequency_10_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,10,0.5,f=0.5 Hz; S1 amplitude=80.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_rollAmpAndFrequency_11_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,11,0.75,f=0.75 Hz; S1 amplitude=80.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_rollAmpAndFrequency_12_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,12,1,f=1 Hz; S1 amplitude=80.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_experimental_sinusoidalYaw_1_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,1,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
rib_flipper_vansh_experimental_sinusoidalYaw_2_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,2,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
rib_flipper_vansh_experimental_sinusoidalYaw_3_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,3,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
rib_flipper_vansh_experimental_sinusoidalYaw_4_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,4,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.5,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
rib_flipper_vansh_experimental_sinusoidalYaw_5_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,5,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
rib_flipper_vansh_experimental_sinusoidalYaw_6_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,6,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
rib_flipper_vansh_experimental_sinusoidalYaw_7_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,7,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
rib_flipper_vansh_experimental_sinusoidalYaw_8_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,8,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.5,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
rib_flipper_vansh_yawPower_1_rib_flipper.bag,rib_flipper,yawPower,1,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_yawPower_2_rib_flipper.bag,rib_flipper,yawPower,2,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_yawPower_3_rib_flipper.bag,rib_flipper,yawPower,3,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
rib_flipper_vansh_yawPower_4_rib_flipper.bag,rib_flipper,yawPower,4,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_rollAmpAndFrequency_1_petg_thin.bag,petg_thin,rollAmpAndFrequency,1,0.5,f=0.5 Hz; S1 amplitude=50.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_rollAmpAndFrequency_2_petg_thin.bag,petg_thin,rollAmpAndFrequency,2,0.75,f=0.75 Hz; S1 amplitude=50.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_rollAmpAndFrequency_3_petg_thin.bag,petg_thin,rollAmpAndFrequency,3,1,f=1 Hz; S1 amplitude=50.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_rollAmpAndFrequency_4_petg_thin.bag,petg_thin,rollAmpAndFrequency,4,1,f=1 Hz; S1 amplitude=60.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_rollAmpAndFrequency_5_petg_thin.bag,petg_thin,rollAmpAndFrequency,5,0.75,f=0.75 Hz; S1 amplitude=60.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_rollAmpAndFrequency_6_petg_thin.bag,petg_thin,rollAmpAndFrequency,6,0.5,f=0.5 Hz; S1 amplitude=60.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_rollAmpAndFrequency_7_petg_thin.bag,petg_thin,rollAmpAndFrequency,7,0.5,f=0.5 Hz; S1 amplitude=70.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_rollAmpAndFrequency_8_petg_thin.bag,petg_thin,rollAmpAndFrequency,8,0.75,f=0.75 Hz; S1 amplitude=70.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_rollAmpAndFrequency_9_petg_thin.bag,petg_thin,rollAmpAndFrequency,9,1,f=1 Hz; S1 amplitude=70.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_rollAmpAndFrequency_10_petg_thin.bag,petg_thin,rollAmpAndFrequency,10,0.5,f=0.5 Hz; S1 amplitude=80.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_rollAmpAndFrequency_11_petg_thin.bag,petg_thin,rollAmpAndFrequency,11,0.75,f=0.75 Hz; S1 amplitude=80.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_rollAmpAndFrequency_12_petg_thin.bag,petg_thin,rollAmpAndFrequency,12,1,f=1 Hz; S1 amplitude=80.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_yawPower_1_petg_thin.bag,petg_thin,yawPower,1,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_yawPower_2_petg_thin.bag,petg_thin,yawPower,2,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_yawPower_3_petg_thin.bag,petg_thin,yawPower,3,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_yawPower_4_petg_thin.bag,petg_thin,yawPower,4,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
petg_thin_vansh_experimental_sinusoidalYaw_1_petg_thin.bag,petg_thin,experimental_sinusoidalYaw,1,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
petg_thin_vansh_experimental_sinusoidalYaw_2_petg_thin.bag,petg_thin,experimental_sinusoidalYaw,2,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
petg_thin_vansh_experimental_sinusoidalYaw_3_petg_thin.bag,petg_thin,experimental_sinusoidalYaw,3,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
petg_thin_vansh_experimental_sinusoidalYaw_4_petg_thin.bag,petg_thin,experimental_sinusoidalYaw,4,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.5,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
petg_thin_vansh_experimental_sinusoidalYaw_5_petg_thin.bag,petg_thin,experimental_sinusoidalYaw,5,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
petg_thin_vansh_experimental_sinusoidalYaw_6_petg_thin.bag,petg_thin,experimental_sinusoidalYaw,6,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
petg_thin_vansh_experimental_sinusoidalYaw_7_petg_thin.bag,petg_thin,experimental_sinusoidalYaw,7,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
petg_thin_vansh_experimental_sinusoidalYaw_8_petg_thin.bag,petg_thin,experimental_sinusoidalYaw,8,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.5,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
stripe_flipper_vansh_rollAmpAndFrequency_1_stripe_flipper.bag,stripe_flipper,rollAmpAndFrequency,1,0.5,f=0.5 Hz; S1 amplitude=50.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_rollAmpAndFrequency_2_stripe_flipper.bag,stripe_flipper,rollAmpAndFrequency,2,0.75,f=0.75 Hz; S1 amplitude=50.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_rollAmpAndFrequency_3_stripe_flipper.bag,stripe_flipper,rollAmpAndFrequency,3,1,f=1 Hz; S1 amplitude=50.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_rollAmpAndFrequency_4_stripe_flipper.bag,stripe_flipper,rollAmpAndFrequency,4,1,f=1 Hz; S1 amplitude=60.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_rollAmpAndFrequency_5_stripe_flipper.bag,stripe_flipper,rollAmpAndFrequency,5,0.75,f=0.75 Hz; S1 amplitude=60.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_rollAmpAndFrequency_6_stripe_flipper.bag,stripe_flipper,rollAmpAndFrequency,6,0.5,f=0.5 Hz; S1 amplitude=60.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_rollAmpAndFrequency_7_stripe_flipper.bag,stripe_flipper,rollAmpAndFrequency,7,0.5,f=0.5 Hz; S1 amplitude=70.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_rollAmpAndFrequency_8_stripe_flipper.bag,stripe_flipper,rollAmpAndFrequency,8,0.75,f=0.75 Hz; S1 amplitude=70.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_rollAmpAndFrequency_9_stripe_flipper.bag,stripe_flipper,rollAmpAndFrequency,9,1,f=1 Hz; S1 amplitude=70.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_rollAmpAndFrequency_10_stripe_flipper.bag,stripe_flipper,rollAmpAndFrequency,10,0.5,f=0.5 Hz; S1 amplitude=80.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_rollAmpAndFrequency_11_stripe_flipper.bag,stripe_flipper,rollAmpAndFrequency,11,0.75,f=0.75 Hz; S1 amplitude=80.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_rollAmpAndFrequency_12_stripe_flipper.bag,stripe_flipper,rollAmpAndFrequency,12,1,f=1 Hz; S1 amplitude=80.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_experimental_sinusoidalYaw_1_stripe_flipper.bag,stripe_flipper,experimental_sinusoidalYaw,1,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
stripe_flipper_vansh_experimental_sinusoidalYaw_2_stripe_flipper.bag,stripe_flipper,experimental_sinusoidalYaw,2,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
stripe_flipper_vansh_experimental_sinusoidalYaw_3_stripe_flipper.bag,stripe_flipper,experimental_sinusoidalYaw,3,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
stripe_flipper_vansh_experimental_sinusoidalYaw_4_stripe_flipper.bag,stripe_flipper,experimental_sinusoidalYaw,4,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.5,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
stripe_flipper_vansh_experimental_sinusoidalYaw_5_stripe_flipper.bag,stripe_flipper,experimental_sinusoidalYaw,5,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
stripe_flipper_vansh_experimental_sinusoidalYaw_6_stripe_flipper.bag,stripe_flipper,experimental_sinusoidalYaw,6,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
stripe_flipper_vansh_experimental_sinusoidalYaw_7_stripe_flipper.bag,stripe_flipper,experimental_sinusoidalYaw,7,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
stripe_flipper_vansh_experimental_sinusoidalYaw_8_stripe_flipper.bag,stripe_flipper,experimental_sinusoidalYaw,8,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.5,Rows 5-8 repeat settings 1-4; retained as separate runs.,Assumed table row equals filename run number
stripe_flipper_vansh_yawPower_1_stripe_flipper.bag,stripe_flipper,yawPower,1,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_yawPower_2_stripe_flipper.bag,stripe_flipper,yawPower,2,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_yawPower_3_stripe_flipper.bag,stripe_flipper,yawPower,3,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
stripe_flipper_vansh_yawPower_4_stripe_flipper.bag,stripe_flipper,yawPower,4,0.5,f=0.5 Hz; S1 amplitude=75.00°; centers=180.00° / 87.89°; power=0.7,,Assumed table row equals filename run number
